station,date_time,longitude,latitude,bot.depth[m],depth(m),depth(text),염분[psu],수온[℃],용존산소[ml/L],규산염[μM],아질산성질소[μM],인산염인[μM],질산성질소[μM],투명도[m]
102-00,2009-03-01 01:34:00,129.5883,36.0767,0,0,,34.2915,12.6258,5.0413,,,,,
102-00,2009-03-01 01:34:00,129.5883,36.0767,0,10,,34.291,12.6294,5.0993,,,,,
102-00,2009-03-01 01:34:00,129.5883,36.0767,0,20,,34.2913,12.6245,5.1631,,,,,
102-00,2009-03-01 01:34:00,129.5883,36.0767,0,30,,34.2671,12.0843,5.2013,,,,,
102-00,2009-03-01 01:34:00,129.5883,36.0767,0,50,,34.1357,4.8349,5.0079,,,,,
102-00,2009-04-17 19:50:00,129.5883,36.0767,0,0,,34.6018,13.6193,4.1556,,,,,
102-00,2009-04-17 19:50:00,129.5883,36.0767,0,10,,34.4771,13.4805,4.6566,,,,,
102-00,2009-04-17 19:50:00,129.5883,36.0767,0,20,,34.2233,13.3617,4.038,,,,,
102-00,2009-04-17 19:50:00,129.5883,36.0767,0,30,,34.231,13.2581,5.7222,,,,,
102-00,2009-04-17 19:50:00,129.5883,36.0767,0,50,,34.2096,4.1801,5.6891,,,,,
102-00,2009-06-14 12:15:00,129.5883,36.0767,0,0,,33.8794,18.0933,5.5605,,,,,
102-00,2009-06-14 12:15:00,129.5883,36.0767,0,10,,33.9762,16.2714,5.4842,,,,,
102-00,2009-06-14 12:15:00,129.5883,36.0767,0,20,,34.2077,11.9865,4.698,,,,,
102-00,2009-06-14 12:15:00,129.5883,36.0767,0,30,,34.2318,9.1813,4.4791,,,,,
102-00,2009-06-14 12:15:00,129.5883,36.0767,0,50,,34.1438,4.1584,4.6934,,,,,
102-00,2009-08-15 20:50:00,129.5883,36.0767,0,0,,32.0043,24.2899,6.0692,,,,,
102-00,2009-08-15 20:50:00,129.5883,36.0767,0,10,,32.924,19.3599,6.0873,,,,,
