station,date_time,longitude,latitude,bot.depth[m],depth(m),depth(text),염분[psu],수온[℃],용존산소[ml/L],규산염[μM],아질산성질소[μM],인산염인[μM],질산성질소[μM],투명도[m]
102-00,2012-02-14 19:15:00,129.5883,36.0767,0,0,,34.3608,11.2597,,,,,,
102-00,2012-02-14 19:15:00,129.5883,36.0767,0,10,,34.3602,11.2584,,,,,,
102-00,2012-02-14 19:15:00,129.5883,36.0767,0,20,,34.3569,11.2333,,,,,,
102-00,2012-02-14 19:15:00,129.5883,36.0767,0,30,,34.3458,11.1646,,,,,,
102-00,2012-02-14 19:15:00,129.5883,36.0767,0,50,,34.2513,9.7829,,,,,,
102-00,2012-04-13 11:00:00,129.5883,36.0767,0,0,,34.4248,13.1231,,,,,,15.0
102-00,2012-04-13 11:00:00,129.5883,36.0767,0,10,,34.4142,13.0941,,,,,,
102-00,2012-04-13 11:00:00,129.5883,36.0767,0,20,,34.3922,12.5127,,,,,,
102-00,2012-04-13 11:00:00,129.5883,36.0767,0,30,,34.3691,11.4528,,,,,,
102-00,2012-04-13 11:00:00,129.5883,36.0767,0,50,,34.2342,7.413,,,,,,
102-00,2012-06-17 07:40:00,129.5883,36.0767,0,0,,33.5421,19.6796,5.3055,,,,,15.0
102-00,2012-06-17 07:40:00,129.5883,36.0767,0,10,,33.7436,18.7195,5.8607,,,,,
102-00,2012-06-17 07:40:00,129.5883,36.0767,0,20,,33.9657,16.9454,6.3338,,,,,
102-00,2012-06-17 07:40:00,129.5883,36.0767,0,30,,34.1456,8.8885,4.8655,,,,,
102-00,2012-06-17 07:40:00,129.5883,36.0767,0,50,,34.0705,4.3451,5.3325,,,,,
102-00,2012-09-02 15:10:00,129.5883,36.0767,0,0,,32.0748,21.7703,5.6364,,,,,15.0
102-00,2012-09-02 15:10:00,129.5883,36.0767,0,10,,33.1695,16.8133,4.2651,,,,,
102-00,2012-09-02 15:10:00,129.5883,36.0767,0,20,,33.8891,13.4383,3.9489,,,,,
102-00,2012-09-02 15:10:00,129.5883,36.0767,0,30,,33.9068,12.6107,3.9346,,,,,
