station,date_time,longitude,latitude,bot.depth[m],depth(m),depth(text),염분[psu],수온[℃],용존산소[ml/L],규산염[μM],아질산성질소[μM],인산염인[μM],질산성질소[μM],투명도[m]
102-00,2014-02-25 06:47:00,129.5883,36.0767,0,0,,34.437,12.83,5.65,,,,,
102-00,2014-02-25 06:47:00,129.5883,36.0767,0,10,,34.434,12.81,5.66,,,,,
102-00,2014-02-25 06:47:00,129.5883,36.0767,0,20,,34.434,12.82,5.65,,,,,
102-00,2014-02-25 06:47:00,129.5883,36.0767,0,30,,34.411,12.36,5.58,,,,,
102-00,2014-04-22 09:45:00,129.5883,36.0767,0,0,,34.4136,14.7339,6.06,,,,,11.0
102-00,2014-04-22 09:45:00,129.5883,36.0767,0,10,,34.4137,14.6553,6.09,,,,,11.0
102-00,2014-04-22 09:45:00,129.5883,36.0767,0,20,,34.3599,13.944,5.94,,,,,11.0
102-00,2014-04-22 09:45:00,129.5883,36.0767,0,30,,34.2972,13.2798,5.53,,,,,11.0
102-00,2014-06-16 22:54:00,129.5883,36.0767,0,0,,33.7863,20.5892,5.5,,,,,
102-00,2014-06-16 22:54:00,129.5883,36.0767,0,10,,33.8559,19.3126,5.67,,,,,
102-00,2014-06-16 22:54:00,129.5883,36.0767,0,20,,34.2312,15.8103,5.26,,,,,
102-00,2014-06-16 22:54:00,129.5883,36.0767,0,30,,34.4061,12.4803,4.53,,,,,
102-00,2014-08-18 13:01:00,129.5883,36.0767,0,0,,32.0057,22.5425,5.3,,,,,
102-00,2014-08-18 13:01:00,129.5883,36.0767,0,10,,32.2974,22.0001,5.55,,,,,
102-00,2014-08-18 13:01:00,129.5883,36.0767,0,20,,33.2937,19.8486,6.25,,,,,
102-00,2014-08-18 13:01:00,129.5883,36.0767,0,30,,33.6814,16.6562,5.34,,,,,
102-00,2014-10-25 14:27:00,129.5883,36.0767,0,0,,33.1569,21.0515,5.01,,,,,5.0
102-00,2014-10-25 14:27:00,129.5883,36.0767,0,10,,33.1618,20.9476,4.98,,,,,5.0
102-00,2014-10-25 14:27:00,129.5883,36.0767,0,20,,33.2502,20.9898,4.91,,,,,5.0
102-00,2014-10-25 14:27:00,129.5883,36.0767,0,30,,33.8762,17.4812,3.98,,,,,5.0
102-00,2014-12-24 07:25:00,129.5883,36.0767,0,0,,34.1795,15.4576,5.08,,,,,
102-00,2014-12-24 07:25:00,129.5883,36.0767,0,10,,34.1784,15.4591,5.05,,,,,
102-00,2014-12-24 07:25:00,129.5883,36.0767,0,20,,34.1625,14.9127,5.0,,,,,
102-00,2014-12-24 07:25:00,129.5883,36.0767,0,30,,34.1564,14.3112,4.97,,,,,
102-04,2014-02-25 07:04:00,129.615,36.0767,0,0,,34.441,12.89,5.65,,,,,
102-04,2014-02-25 07:04:00,129.615,36.0767,0,10,,34.438,12.9,5.63,,,,,
102-04,2014-02-25 07:04:00,129.615,36.0767,0,20,,34.438,12.9,5.64,,,,,
102-04,2014-02-25 07:04:00,129.615,36.0767,0,30,,34.442,12.72,5.63,,,,,
102-04,2014-02-25 07:04:00,129.615,36.0767,0,50,,34.278,10.1,5.36,,,,,
102-04,2014-04-22 09:32:00,129.615,36.0767,0,0,,34.4713,15.0888,5.92,0.6632,,0.0022,0.5032,8.0
102-04,2014-04-22 09:32:00,129.615,36.0767,0,10,,34.4682,14.9831,5.9,,,,,8.0
102-04,2014-04-22 09:32:00,129.615,36.0767,0,20,,34.3834,14.0978,5.98,,,,,8.0
102-04,2014-04-22 09:32:00,129.615,36.0767,0,30,,34.3368,13.5768,5.71,,,,,8.0
102-04,2014-04-22 09:32:00,129.615,36.0767,0,50,,34.3289,11.171,5.06,,,,,8.0
102-04,2014-06-16 22:40:00,129.615,36.0767,0,0,,33.7962,20.8759,5.4,,,,,
102-04,2014-06-16 22:40:00,129.615,36.0767,0,10,,33.8562,19.4056,5.74,,,,,
102-04,2014-06-16 22:40:00,129.615,36.0767,0,20,,34.1928,15.7499,4.93,,,,,
102-04,2014-06-16 22:40:00,129.615,36.0767,0,30,,34.4341,12.1202,4.55,,,,,
102-04,2014-06-16 22:40:00,129.615,36.0767,0,50,,34.1859,6.3395,5.44,,,,,
102-04,2014-08-18 12:46:00,129.615,36.0767,0,0,,31.7377,23.211,5.18,7.4111,0.0457,0.007,0.7125,
102-04,2014-08-18 12:46:00,129.615,36.0767,0,10,,32.1672,22.2996,5.37,,,,,
102-04,2014-08-18 12:46:00,129.615,36.0767,0,20,,32.8188,20.8508,5.25,,,,,
102-04,2014-08-18 12:46:00,129.615,36.0767,0,30,,33.7254,16.0169,4.58,,,,,
102-04,2014-08-18 12:46:00,129.615,36.0767,0,50,,34.2034,11.3306,4.17,,,,,
102-04,2014-10-25 14:09:00,129.615,36.0767,0,0,,33.2954,21.6056,5.07,,,,,7.0
102-04,2014-10-25 14:09:00,129.615,36.0767,0,10,,33.3938,21.6869,5.08,,,,,7.0
102-04,2014-10-25 14:09:00,129.615,36.0767,0,20,,33.3344,21.3161,4.99,,,,,7.0
102-04,2014-10-25 14:09:00,129.615,36.0767,0,30,,33.465,19.8717,4.69,,,,,7.0
102-04,2014-10-25 14:09:00,129.615,36.0767,0,50,,34.2966,10.8436,4.09,,,,,7.0
102-04,2014-12-24 07:08:00,129.615,36.0767,0,0,,34.1435,15.5927,5.09,,,,,
102-04,2014-12-24 07:08:00,129.615,36.0767,0,10,,34.1434,15.6014,5.05,,,,,
102-04,2014-12-24 07:08:00,129.615,36.0767,0,20,,34.1443,15.6016,5.08,,,,,
102-04,2014-12-24 07:08:00,129.615,36.0767,0,30,,34.1506,15.6055,5.05,,,,,
102-04,2014-12-24 07:08:00,129.615,36.0767,0,50,,34.1633,15.2042,5.01,,,,,
102-05,2014-02-25 07:33:00,129.6883,36.0767,0,0,,34.449,12.62,5.7,7.4302,0.3993,0.3737,4.4384,
102-05,2014-02-25 07:33:00,129.6883,36.0767,0,10,,34.444,12.63,5.67,,,,,
102-05,2014-02-25 07:33:00,129.6883,36.0767,0,20,,34.443,12.63,5.66,9.2489,0.4995,0.3861,5.3923,
102-05,2014-02-25 07:33:00,129.6883,36.0767,0,30,,34.444,12.63,5.68,,,,,
102-05,2014-02-25 07:33:00,129.6883,36.0767,0,50,,34.443,12.62,5.66,9.2924,0.5088,0.3962,5.6753,
102-05,2014-02-25 07:33:00,129.6883,36.0767,0,75,,34.243,8.66,5.34,,,,,
102-05,2014-02-25 07:33:00,129.6883,36.0767,0,100,,34.021,3.89,5.83,15.4035,0.0446,0.9495,12.5856,
102-05,2014-02-25 07:33:00,129.6883,36.0767,0,125,,34.018,2.7,5.69,,,,,
102-05,2014-02-25 07:33:00,129.6883,36.0767,0,150,,34.011,2.14,5.77,,,,,
102-05,2014-04-22 09:03:00,129.6883,36.0767,0,0,,34.543,15.4495,5.77,0.62,,0.0044,0.517,
102-05,2014-04-22 09:03:00,129.6883,36.0767,0,10,,34.5421,15.4401,5.79,,,,,
102-05,2014-04-22 09:03:00,129.6883,36.0767,0,20,,34.4878,14.8593,5.86,1.3081,0.1003,0.0424,0.8163,
102-05,2014-04-22 09:03:00,129.6883,36.0767,0,30,,34.4399,14.3519,5.73,,,,,
102-05,2014-04-22 09:03:00,129.6883,36.0767,0,50,,34.3608,12.9625,5.45,6.9486,1.0665,0.4113,4.2847,
102-05,2014-04-22 09:03:00,129.6883,36.0767,0,75,,34.275,8.293,5.23,,,,,
102-05,2014-04-22 09:03:00,129.6883,36.0767,0,100,,34.1303,3.7973,5.4,25.7302,0.0806,1.3188,16.4614,
102-05,2014-04-22 09:03:00,129.6883,36.0767,0,125,,34.0454,1.8834,5.4,,,,,
102-05,2014-06-16 22:08:00,129.6883,36.0767,0,0,,33.7853,20.5476,5.62,5.1543,100000.0,0.0426,0.2205,
102-05,2014-06-16 22:08:00,129.6883,36.0767,0,10,,33.833,19.5452,5.72,,,,,
102-05,2014-06-16 22:08:00,129.6883,36.0767,0,20,,33.9898,17.6569,5.07,10.3948,0.3926,0.3376,3.2678,
102-05,2014-06-16 22:08:00,129.6883,36.0767,0,30,,34.3066,13.8694,4.69,,,,,
102-05,2014-06-16 22:08:00,129.6883,36.0767,0,50,,34.3217,11.3011,4.67,19.8016,0.2629,0.9554,11.5156,
