station,date_time,longitude,latitude,bot.depth[m],depth(m),depth(text),염분[psu],수온[℃],용존산소[ml/L],규산염[μM],아질산성질소[μM],인산염인[μM],질산성질소[μM],투명도[m]
102-00,2015-02-15 16:59:00,129.5883,36.0767,0,0,,34.202,9.9,6.45,,,,,
102-00,2015-02-15 16:59:00,129.5883,36.0767,0,10,,34.198,9.89,6.42,,,,,
102-00,2015-02-15 16:59:00,129.5883,36.0767,0,20,,34.196,9.75,6.35,,,,,
102-00,2015-02-15 16:59:00,129.5883,36.0767,0,30,,34.196,9.69,6.34,,,,,
102-00,2015-04-18 20:01:00,129.5883,36.0767,0,0,,33.985,12.54,,,,,,
102-00,2015-04-18 20:01:00,129.5883,36.0767,0,10,,33.996,12.55,,,,,,
102-00,2015-04-18 20:01:00,129.5883,36.0767,0,20,,34.125,12.3,,,,,,
102-00,2015-04-18 20:01:00,129.5883,36.0767,0,30,,34.185,11.59,,,,,,
102-00,2015-06-17 13:17:00,129.5883,36.0767,0,0,,34.0221,17.1825,6.5037,,,,,6.0
102-00,2015-06-17 13:17:00,129.5883,36.0767,0,10,,34.1287,13.954,6.7349,,,,,6.0
102-00,2015-06-17 13:17:00,129.5883,36.0767,0,20,,34.2457,11.4481,5.5885,,,,,6.0
102-00,2015-06-17 13:17:00,129.5883,36.0767,0,30,,34.1699,9.7171,6.4185,,,,,6.0
102-00,2015-08-12 14:54:00,129.5883,36.0767,0,0,,33.2898,22.0594,6.1621,,,,,
102-00,2015-08-12 14:54:00,129.5883,36.0767,0,10,,33.7748,17.7345,5.1064,,,,,
102-00,2015-08-12 14:54:00,129.5883,36.0767,0,20,,34.0535,12.5989,7.5454,,,,,
102-00,2015-08-12 14:54:00,129.5883,36.0767,0,30,,34.0444,10.9904,6.8616,,,,,
102-00,2015-10-31 21:21:00,129.5883,36.0767,0,0,,32.4641,18.2052,5.7434,,,,,
102-00,2015-10-31 21:21:00,129.5883,36.0767,0,10,,32.4253,18.1849,5.6849,,,,,
102-00,2015-10-31 21:21:00,129.5883,36.0767,0,20,,33.1117,16.0344,5.5162,,,,,
102-00,2015-10-31 21:21:00,129.5883,36.0767,0,30,,33.6349,13.1639,4.9984,,,,,
102-00,2015-12-15 08:35:00,129.5883,36.0767,0,0,,33.525,15.6491,5.6722,,,,,
102-00,2015-12-15 08:35:00,129.5883,36.0767,0,10,,33.5054,15.5642,5.6395,,,,,
102-00,2015-12-15 08:35:00,129.5883,36.0767,0,20,,33.485,15.4622,5.6798,,,,,
102-00,2015-12-15 08:35:00,129.5883,36.0767,0,30,,33.4316,15.1781,5.7462,,,,,
102-04,2015-02-15 16:45:00,129.615,36.0767,0,0,,34.198,9.87,6.45,,,,,
102-04,2015-02-15 16:45:00,129.615,36.0767,0,10,,34.197,9.83,6.42,,,,,
102-04,2015-02-15 16:45:00,129.615,36.0767,0,20,,34.198,9.78,6.42,,,,,
102-04,2015-02-15 16:45:00,129.615,36.0767,0,30,,34.195,9.69,6.36,,,,,
102-04,2015-02-15 16:45:00,129.615,36.0767,0,50,,34.205,9.47,6.31,,,,,
102-04,2015-04-18 19:40:00,129.615,36.0767,0,0,,33.978,12.96,,6.9176,0.4078,0.2844,3.2486,
102-04,2015-04-18 19:40:00,129.615,36.0767,0,10,,34.031,13.0,,,,,,
102-04,2015-04-18 19:40:00,129.615,36.0767,0,20,,34.057,12.54,,,,,,
102-04,2015-04-18 19:40:00,129.615,36.0767,0,30,,34.141,11.02,,,,,,
102-04,2015-04-18 19:40:00,129.615,36.0767,0,50,,34.135,6.67,,,,,,
102-04,2015-06-17 13:02:00,129.615,36.0767,0,0,,33.9318,17.4798,6.4759,,,,,7.0
102-04,2015-06-17 13:02:00,129.615,36.0767,0,10,,33.9842,16.4047,6.997,,,,,7.0
102-04,2015-06-17 13:02:00,129.615,36.0767,0,20,,34.1755,13.338,6.0876,,,,,7.0
102-04,2015-06-17 13:02:00,129.615,36.0767,0,30,,34.27,11.3748,5.4739,,,,,7.0
102-04,2015-06-17 13:02:00,129.615,36.0767,0,50,,34.1546,8.3086,6.3529,,,,,7.0
102-04,2015-08-12 14:41:00,129.615,36.0767,0,0,,32.8363,21.7437,6.2545,1.7716,0.0196,0.01,0.3284,6.0
102-04,2015-08-12 14:41:00,129.615,36.0767,0,10,,33.8869,15.9107,14.5565,,,,,6.0
102-04,2015-08-12 14:41:00,129.615,36.0767,0,20,,34.0423,13.7566,8.3019,,,,,6.0
102-04,2015-08-12 14:41:00,129.615,36.0767,0,30,,34.0603,10.4952,4.9901,,,,,6.0
102-04,2015-08-12 14:41:00,129.615,36.0767,0,50,,34.0549,8.3448,5.9337,,,,,6.0
102-04,2015-10-31 21:04:00,129.615,36.0767,0,0,,32.4212,18.3512,5.5744,,,,,
102-04,2015-10-31 21:04:00,129.615,36.0767,0,10,,32.4166,18.3508,5.5542,,,,,
102-04,2015-10-31 21:04:00,129.615,36.0767,0,20,,32.774,17.4191,5.3065,,,,,
