station,date_time,longitude,latitude,bot.depth[m],depth(m),depth(text),염분[psu],수온[℃],용존산소[ml/L],규산염[μM],아질산성질소[μM],인산염인[μM],질산성질소[μM],투명도[m]
102-00,2016-02-27 13:09:00,129.5883,36.0767,0,0,,34.1643,10.5922,6.7751,,,,,7.1
102-00,2016-02-27 13:09:00,129.5883,36.0767,0,10,,34.1639,10.5607,6.7901,,,,,7.1
102-00,2016-02-27 13:09:00,129.5883,36.0767,0,20,,34.1642,10.3536,6.8436,,,,,7.1
102-00,2016-02-27 13:09:00,129.5883,36.0767,0,30,,34.1716,10.204,6.9217,,,,,7.1
102-00,2016-04-15 10:08:00,129.5883,36.0767,0,0,,34.2634,14.2567,6.4162,,,,,4.0
102-00,2016-04-15 10:08:00,129.5883,36.0767,0,10,,34.2526,14.1379,6.4094,,,,,4.0
102-00,2016-04-15 10:08:00,129.5883,36.0767,0,20,,34.1333,11.9626,6.3977,,,,,4.0
102-00,2016-04-15 10:08:00,129.5883,36.0767,0,30,,34.0844,8.3019,6.1152,,,,,4.0
102-00,2016-06-24 11:26:00,129.5883,36.0767,0,0,,32.9251,21.3223,5.4722,,,,,8.5
102-00,2016-06-24 11:26:00,129.5883,36.0767,0,10,,33.5483,18.0973,5.8744,,,,,8.5
102-00,2016-06-24 11:26:00,129.5883,36.0767,0,20,,34.1295,15.0597,4.628,,,,,8.5
102-00,2016-06-24 11:26:00,129.5883,36.0767,0,30,,34.2363,14.6153,4.5882,,,,,8.5
102-00,2016-08-13 12:23:00,129.5883,36.0767,0,0,,30.7733,28.9259,5.2415,,,,,6.0
102-00,2016-08-13 12:23:00,129.5883,36.0767,0,10,,32.7915,21.5892,6.0854,,,,,6.0
102-00,2016-08-13 12:23:00,129.5883,36.0767,0,20,,34.1708,13.2771,4.0824,,,,,6.0
102-00,2016-08-13 12:23:00,129.5883,36.0767,0,30,,34.2253,11.1635,4.3572,,,,,6.0
102-00,2016-10-17 11:54:00,129.5883,36.0767,0,0,,31.7341,20.8951,5.6551,,,,,8.0
102-00,2016-10-17 11:54:00,129.5883,36.0767,0,10,,32.5499,19.9071,5.1597,,,,,8.0
102-00,2016-10-17 11:54:00,129.5883,36.0767,0,20,,33.8688,15.0385,3.819,,,,,8.0
102-00,2016-10-17 11:54:00,129.5883,36.0767,0,30,,34.1784,11.8066,3.9538,,,,,8.0
102-00,2016-12-18 14:47:00,129.5883,36.0767,0,0,,34.1037,14.9395,4.5317,,,,,12.0
102-00,2016-12-18 14:47:00,129.5883,36.0767,0,10,,34.1345,14.9656,5.2444,,,,,12.0
102-00,2016-12-18 14:47:00,129.5883,36.0767,0,20,,34.111,14.7957,5.2477,,,,,12.0
102-00,2016-12-18 14:47:00,129.5883,36.0767,0,30,,34.1023,14.7472,5.2478,,,,,12.0
102-04,2016-02-27 12:54:00,129.615,36.0767,0,0,,34.1638,10.6328,6.7421,1.7716,0.0196,0.01,0.3284,7.8
102-04,2016-02-27 12:54:00,129.615,36.0767,0,10,,34.1596,10.6235,6.725,,,,,7.8
102-04,2016-02-27 12:54:00,129.615,36.0767,0,20,,34.1634,10.1127,6.8646,,,,,7.8
102-04,2016-02-27 12:54:00,129.615,36.0767,0,30,,34.1654,10.0754,6.9053,,,,,7.8
102-04,2016-02-27 12:54:00,129.615,36.0767,0,50,,34.1583,9.7686,7.035,,,,,7.8
102-04,2016-04-15 09:52:00,129.615,36.0767,0,0,,34.3121,14.6738,6.5301,4.7079,0.0666,0.2314,0.8101,7.0
102-04,2016-04-15 09:52:00,129.615,36.0767,0,10,,34.3133,14.5932,6.5467,,,,,7.0
102-04,2016-04-15 09:52:00,129.615,36.0767,0,20,,34.2888,13.8375,6.4784,,,,,7.0
102-04,2016-04-15 09:52:00,129.615,36.0767,0,30,,34.2242,10.5407,6.2871,,,,,7.0
