station,date_time,longitude,latitude,bot.depth[m],depth(m),염분[psu],수온[℃],용존산소[ml/L],규산염[μM],아질산성질소[μM],인산염인[μM],질산성질소[μM],투명도[m]
102-00,2018-03-04 00:41:00,129.5883,36.0767,0,0,34.4089,10.5696,5.777,,,,,
102-00,2018-03-04 00:41:00,129.5883,36.0767,0,10,34.3913,10.3184,5.729,,,,,
102-00,2018-03-04 00:41:00,129.5883,36.0767,0,20,34.365,9.9806,5.713,,,,,
102-00,2018-03-04 00:41:00,129.5883,36.0767,0,30,34.3096,9.2259,5.63,,,,,
102-00,2018-03-04 00:41:00,129.5883,36.0767,0,50,34.2536,7.8355,5.737,,,,,
102-00,2018-04-17 12:46:00,129.5883,36.0767,0,0,34.2735,14.0608,5.68,,,,,7.0
102-00,2018-04-17 12:46:00,129.5883,36.0767,0,10,34.2719,13.6729,6.553,,,,,7.0
102-00,2018-04-17 12:46:00,129.5883,36.0767,0,20,34.2899,12.9308,6.308,,,,,7.0
102-00,2018-04-17 12:46:00,129.5883,36.0767,0,30,34.2934,10.914,5.785,,,,,7.0
102-00,2018-04-17 12:46:00,129.5883,36.0767,0,50,34.1763,6.2673,5.277,,,,,7.0
102-00,2018-06-23 10:48:00,129.5883,36.0767,0,0,34.1785,15.2567,5.896,,,,,5.0
102-00,2018-06-23 10:48:00,129.5883,36.0767,0,10,34.3754,11.3004,4.451,,,,,5.0
102-00,2018-06-23 10:48:00,129.5883,36.0767,0,20,34.2508,7.9144,4.584,,,,,5.0
102-00,2018-06-23 10:48:00,129.5883,36.0767,0,30,34.128,4.4384,5.423,,,,,5.0
102-00,2018-06-23 10:48:00,129.5883,36.0767,0,50,34.0433,2.992,5.002,,,,,5.0
102-00,2018-08-29 03:12:00,129.5883,36.0767,0,0,32.8736,22.8763,4.826,,,,,
102-00,2018-08-29 03:12:00,129.5883,36.0767,0,10,33.0316,22.6681,4.866,,,,,
102-00,2018-08-29 03:12:00,129.5883,36.0767,0,20,33.4846,19.1516,4.771,,,,,
102-00,2018-08-29 03:12:00,129.5883,36.0767,0,30,33.9888,14.9128,4.697,,,,,
102-00,2018-10-25 12:20:00,129.5883,36.0767,0,0,33.4251,20.0879,5.001,,,,,7.0
102-00,2018-10-25 12:20:00,129.5883,36.0767,0,10,33.5502,20.2703,5.113,,,,,7.0
102-00,2018-10-25 12:20:00,129.5883,36.0767,0,20,33.6033,19.8416,4.888,,,,,7.0
102-00,2018-10-25 12:20:00,129.5883,36.0767,0,30,33.8343,14.5485,4.155,,,,,7.0
102-00,2018-12-21 12:30:00,129.5883,36.0767,0,0,34.1518,14.7367,5.036,,,,,6.4
