station,date_time,longitude,latitude,bot.depth[m],depth(m),depth(text),염분[psu],수온[℃],용존산소[ml/L],규산염[μM],아질산성질소[μM],인산염인[μM],질산성질소[μM],투명도[m]
102-00,2007-02-12 12:15:00,129.5883,36.0767,0,0,,34.2046,13.2827,,,,,,
102-00,2007-02-12 12:15:00,129.5883,36.0767,0,10,,34.2761,12.886,,,,,,
102-00,2007-02-12 12:15:00,129.5883,36.0767,0,20,,34.2747,12.7672,,,,,,
102-00,2007-02-12 12:15:00,129.5883,36.0767,0,30,,34.2673,12.5977,,,,,,
102-00,2007-02-12 12:15:00,129.5883,36.0767,0,42,,34.141,12.2608,,,,,,
102-00,2007-04-10 11:45:00,129.5883,36.0767,0,0,,34.2802,13.5247,5.4871,,,,,
102-00,2007-04-10 11:45:00,129.5883,36.0767,0,10,,34.2818,13.5166,6.5664,,,,,
102-00,2007-04-10 11:45:00,129.5883,36.0767,0,20,,34.2793,13.487,6.6477,,,,,
102-00,2007-04-10 11:45:00,129.5883,36.0767,0,30,,34.2402,13.1031,6.4076,,,,,
102-00,2007-04-10 11:45:00,129.5883,36.0767,0,50,,33.8261,11.1006,5.6206,,,,,
102-00,2007-06-20 06:54:00,129.5883,36.0767,0,0,,33.8484,19.3447,5.264,,,,,
102-00,2007-06-20 06:54:00,129.5883,36.0767,0,10,,33.9064,18.3019,5.3555,,,,,
102-00,2007-06-20 06:54:00,129.5883,36.0767,0,20,,34.1096,12.1366,5.3491,,,,,
102-00,2007-06-20 06:54:00,129.5883,36.0767,0,30,,34.166,6.6919,5.1287,,,,,
102-00,2007-06-20 06:54:00,129.5883,36.0767,0,50,,34.0907,4.5171,5.0219,,,,,
102-00,2007-06-20 06:54:00,129.5883,36.0767,0,72,,34.0605,3.3424,5.1378,,,,,
102-00,2007-08-15 12:55:00,129.5883,36.0767,0,0,,33.825,16.9045,5.5108,,,,,
102-00,2007-08-15 12:55:00,129.5883,36.0767,0,10,,34.3476,12.9764,4.0529,,,,,
102-00,2007-08-15 12:55:00,129.5883,36.0767,0,20,,34.2844,9.3858,4.3386,,,,,
102-00,2007-08-15 12:55:00,129.5883,36.0767,0,30,,34.2223,7.8406,4.6336,,,,,
102-00,2007-08-15 12:55:00,129.5883,36.0767,0,50,,34.0955,4.6702,5.3133,,,,,
102-00,2007-10-16 17:30:00,129.5883,36.0767,0,0,,32.9734,22.4685,4.8467,,,,,
102-00,2007-10-16 17:30:00,129.5883,36.0767,0,10,,32.9714,22.4657,4.8185,,,,,
102-00,2007-10-16 17:30:00,129.5883,36.0767,0,20,,32.9674,22.4787,4.8237,,,,,
102-00,2007-10-16 17:30:00,129.5883,36.0767,0,30,,33.3003,16.4233,4.1994,,,,,
102-00,2007-10-16 17:30:00,129.5883,36.0767,0,50,,34.0767,9.1422,4.2566,,,,,
102-00,2007-12-17 08:30:00,129.5883,36.0767,0,0,,34.4117,14.736,5.3805,,,,,
102-00,2007-12-17 08:30:00,129.5883,36.0767,0,10,,34.1903,14.9733,4.2484,,,,,
102-00,2007-12-17 08:30:00,129.5883,36.0767,0,20,,34.2305,14.9948,4.6323,,,,,
102-00,2007-12-17 08:30:00,129.5883,36.0767,0,30,,34.2055,14.73,4.5553,,,,,
102-00,2007-12-17 08:30:00,129.5883,36.0767,0,50,,34.1477,13.4,4.6874,,,,,
102-04,2007-02-12 12:04:00,129.615,36.0767,0,0,,34.3515,13.7257,,,,,,
102-04,2007-02-12 12:04:00,129.615,36.0767,0,10,,34.3363,13.7703,,,,,,
102-04,2007-02-12 12:04:00,129.615,36.0767,0,20,,34.3211,13.7166,,,,,,
102-04,2007-02-12 12:04:00,129.615,36.0767,0,30,,34.309,13.3912,,,,,,
102-04,2007-02-12 12:04:00,129.615,36.0767,0,50,,34.1346,12.281,,,,,,
102-04,2007-02-12 12:04:00,129.615,36.0767,0,70,,34.0812,3.6338,,,,,,
102-04,2007-04-10 11:30:00,129.615,36.0767,0,0,,34.3902,13.9047,5.3693,,,,,
102-04,2007-04-10 11:30:00,129.615,36.0767,0,10,,34.2857,13.6137,6.8348,,,,,
102-04,2007-04-10 11:30:00,129.615,36.0767,0,20,,34.2916,13.4925,6.7575,,,,,
102-04,2007-04-10 11:30:00,129.615,36.0767,0,30,,34.2376,13.053,6.2047,,,,,
102-04,2007-04-10 11:30:00,129.615,36.0767,0,50,,34.1447,12.3984,5.5798,,,,,
102-04,2007-04-10 11:30:00,129.615,36.0767,0,75,,33.9384,4.1206,5.4486,,,,,
102-04,2007-06-20 06:43:00,129.615,36.0767,0,0,,33.8641,19.029,5.2656,,,,,
102-04,2007-06-20 06:43:00,129.615,36.0767,0,10,,33.9525,16.4796,5.4016,,,,,
102-04,2007-06-20 06:43:00,129.615,36.0767,0,20,,34.1063,11.4534,5.2342,,,,,
102-04,2007-06-20 06:43:00,129.615,36.0767,0,30,,34.164,6.5839,5.0768,,,,,
102-04,2007-06-20 06:43:00,129.615,36.0767,0,50,,34.0872,4.4667,5.0212,,,,,
102-04,2007-06-20 06:43:00,129.615,36.0767,0,75,,34.0567,3.1605,5.1329,,,,,
102-04,2007-08-15 13:14:00,129.615,36.0767,0,0,,34.1626,15.2679,4.2951,,,,,
102-04,2007-08-15 13:14:00,129.615,36.0767,0,10,,34.2508,13.3668,4.0082,,,,,
102-04,2007-08-15 13:14:00,129.615,36.0767,0,20,,34.3488,12.217,4.0205,,,,,
102-04,2007-08-15 13:14:00,129.615,36.0767,0,30,,34.2836,9.0556,4.4001,,,,,
102-04,2007-08-15 13:14:00,129.615,36.0767,0,50,,34.1185,4.88,5.158,,,,,
102-04,2007-10-16 17:45:00,129.615,36.0767,0,0,,33.0669,22.5771,4.7484,,,,,
102-04,2007-10-16 17:45:00,129.615,36.0767,0,10,,33.0697,22.5652,4.7836,,,,,
102-04,2007-10-16 17:45:00,129.615,36.0767,0,20,,33.057,22.5869,4.7745,,,,,
102-04,2007-10-16 17:45:00,129.615,36.0767,0,30,,33.2467,17.7504,4.1897,,,,,
102-04,2007-10-16 17:45:00,129.615,36.0767,0,50,,34.1611,8.2209,4.4206,,,,,
102-04,2007-12-17 08:45:00,129.615,36.0767,0,0,,34.3365,14.644,4.7627,,,,,
102-04,2007-12-17 08:45:00,129.615,36.0767,0,10,,34.2605,15.3109,4.7211,,,,,
102-04,2007-12-17 08:45:00,129.615,36.0767,0,20,,34.2601,15.3138,4.7134,,,,,
102-04,2007-12-17 08:45:00,129.615,36.0767,0,30,,34.2601,15.3286,4.7664,,,,,
102-04,2007-12-17 08:45:00,129.615,36.0767,0,50,,34.1461,14.4541,4.6835,,,,,
102-04,2007-12-17 08:45:00,129.615,36.0767,0,75,,34.0443,3.8716,4.3479,,,,,
102-05,2007-02-12 11:25:00,129.6883,36.0767,0,0,,34.3653,13.6859,5.8863,5.9502,,,,
102-05,2007-02-12 11:25:00,129.6883,36.0767,0,10,,34.3496,13.7368,,,,,,
102-05,2007-02-12 11:25:00,129.6883,36.0767,0,20,,34.3505,13.7195,5.5295,5.9552,,,,
102-05,2007-02-12 11:25:00,129.6883,36.0767,0,30,,34.353,13.7153,,,,,,
102-05,2007-02-12 11:25:00,129.6883,36.0767,0,50,,34.0786,13.254,5.5796,5.8945,,,,
102-05,2007-02-12 11:25:00,129.6883,36.0767,0,75,,34.0062,11.9268,,,,,,
102-05,2007-02-12 11:25:00,129.6883,36.0767,0,100,,34.0514,7.1556,5.4686,25.1555,,,,
