province,city,city_code,town,latitude,longitude,시설년도,시설유형,품종,area,ORIG_FID,geometry
충청남도,서산시,21,가로림만1단지,36.918892788379196,126.33529982938865,2013,어초,감태,364024.073019,0,POINT (126.33529982938865 36.918892788379196)
충청남도,서산시,21,가로림만2단지,36.91091899972321,126.35319739292902,2013,어초,감태,233886.674985,1,POINT (126.35319739292902 36.91091899972321)
충청남도,서산시,21,가로림만3단지,36.896695810404765,126.34867417894498,2013,어초,감태,416441.532503,2,POINT (126.34867417894498 36.896695810404765)
강원도,고성군,82,가진리,38.368750024000235,128.51874998183348,2018,어초,미역,1514583.63629,3,POINT (128.51874998183348 38.368750024000235)
강원도,삼척시,23,갈남리,37.28187259737217,129.32931493650017,2012,어초,미역,363596.257702,4,POINT (129.32931493650017 37.28187259737217)
경상북도,포항시,11,강사2리,36.05691840681726,129.579876815778,2015,어초,미역,636458.835231,5,POINT (129.579876815778 36.05691840681726)
전라남도,여수시,13,거문도_거문리,34.02167224169091,127.32566666575019,2011,어초,감태,67795.3323551,6,POINT (127.32566666575019 34.02167224169091)
전라남도,여수시,13,거문도_덕촌리,34.0056843628052,127.32213333300001,2010,어초,감태,890484.231882,7,POINT (127.32213333300001 34.0056843628052)
경상북도,울진군,93,거일리,36.70624999591678,129.48124999391678,2018,어초,감태,1548158.02743,8,POINT (129.48124999391678 36.70624999591678)
전라북도,부안군,80,격포,35.61197672437339,126.45803333325011,2012,어초,감태,653236.489598,9,POINT (126.45803333325011 35.61197672437339)
경상북도,영덕군,77,경정리,36.481286887799854,129.44346552708055,2019,어초,감태,1636454.43675,10,POINT (129.44346552708055 36.481286887799854)
제주특별자,제주시,11,고내리,33.47566536101522,126.34514918700017,2013,어초,감태,1395045.22374,11,POINT (126.34514918700017 33.47566536101522)
인천광역시,웅진군,28,고봉포,37.98233514075366,124.69081125331297,2011,어초,감태,79321.5717232,12,POINT (124.69081125331297 37.98233514075366)
제주특별자,제주시,11,고산리1,33.31874999308337,126.15625002458341,2019,어초,미역,1615167.72646,13,POINT (126.15625002458341 33.31874999308337)
제주특별자,제주시,11,고산리2,33.30624999758345,126.15625001308342,2019,어초,감태,1615392.68367,14,POINT (126.15625001308342 33.30624999758345)
제주특별자,제주시,11,고산리3,33.29375003116667,126.1562499876668,2019,어초,감태,1615622.27995,15,POINT (126.1562499876668 33.29375003116667)
제주특별자,제주시,11,고산리4,33.28125002266677,126.15624997600014,2019,어초,감태,1615851.86481,16,POINT (126.15624997600014 33.28125002266677)
제주특별자,제주시,11,고산리5,33.281250011583325,126.16874997208345,2019,어초,미역,1615825.60103,17,POINT (126.16874997208345 33.281250011583325)
제주특별자,서귀포시,13,고성_신양리,33.438354019146516,126.93456875563004,2013,어초,감태,2151821.27271,18,POINT (126.93456875563004 33.438354019146516)
경상북도,울진군,93,고포리,37.14156998245278,129.37033941903655,2016,어초,감태,629521.038619,19,POINT (129.37033941903655 37.14156998245278)
강원도,속초시,21,교동,38.20662640119224,128.6105994065001,2016,어초,미역,1865171.84765,20,POINT (128.6105994065001 38.20662640119224)
강원도,고성군,82,교암리,38.288369702787065,128.55532163190833,2016,어초,감태,1576091.5113,21,POINT (128.55532163190833 38.288369702787065)
경상북도,포항시,11,구룡포,35.99223496487684,129.57053749950012,2012,어초,감태,718460.807979,22,POINT (129.57053749950012 35.99223496487684)
경상북도,포항시,11,구만2리,36.08117242177627,129.5438540679902,2013,어초,미역,411073.732928,23,POINT (129.5438540679902 36.08117242177627)
울산광역시,북구,31,구유동_판지,35.61276131441144,129.45957083300016,2016,어초,감태,240574.681284,24,POINT (129.45957083300016 35.61276131441144)
경상남도,거제시,31,구조라_망치,34.80620296574119,128.67811666625005,2017,어초,감태,1404530.24792,25,POINT (128.67811666625005 34.80620296574119)
경기도,화성시,59,국화도,37.064125000354295,126.55119999981673,2010,어초,미역,15852.8430755,26,POINT (126.55119999981673 37.064125000354295)
경상북도,영덕군,77,금곡리,36.64375000350003,129.4187499691667,2018,어초,감태,1549375.34169,27,POINT (129.4187499691667 36.64375000350003)
강원도,양양군,83,기사문리,38.00006959734475,128.74447451850017,2011,어초,미역,1115579.52601,28,POINT (128.74447451850017 38.00006959734475)
경상북도,울진군,93,기성리,36.8113842706112,129.4609854960545,2016,어초,감태,341098.457439,29,POINT (129.4609854960545 36.8113842706112)
부산광역시,기장군,26,길천리,35.320990714963216,129.27812839900014,2015,어초,감태,879856.245429,30,POINT (129.27812839900014 35.320990714963216)
제주특별자,제주시,11,김녕리,33.567283735951264,126.75074091551619,2015,어초,감태,6477269.62761,31,POINT (126.75074091551619 33.567283735951264)
경상북도,울진군,93,나곡리,37.12831210138296,129.37602358040363,2016,어초,감태,533770.402132,32,POINT (129.37602358040363 37.12831210138296)
경상북도,경주시,13,나정2리,35.76862856070784,129.49909916297827,2017,어초,미역,974473.389495,33,POINT (129.49909916297827 35.76862856070784)
강원도,양양군,83,남애1_2리,37.93765670616665,128.7940565837331,2016,어초,감태,1844331.75724,34,POINT (128.7940565837331 37.93765670616665)
제주특별자,서귀포시,13,남원리,33.27273162395011,126.71636655656403,2014,어초,감태,2219557.38093,35,POINT (126.71636655656403 33.27273162395011)
충청남도,보령시,18,녹도리,36.27462961469297,126.25683129786046,2015,어초,미역,1635840.43321,36,POINT (126.25683129786046 36.27462961469297)
경상남도,통영시,22,능양,34.80625000250012,128.24375000933344,2018,어초,미역,1585017.04559,37,POINT (128.24375000933344 34.80625000250012)
