project_name,station,yyyy-mm-dd hh:mm:ss,유효시간,Longitude [degrees_east],Latitude [degrees_north],수심(m),수심(text),전체수심(m),염분[psu],sal_qc,수온[℃],wtrtmp_qc,용존산소[ml/L],disoxy_qc,규산염[μM],reasil_qc,아질산성질소[μM],nitnit_qc,인산염인[μM],po4p_qc,질산성질소[μM],natnit_qc,투명도[m],tr_qc
정선해양관측,102-04,2020-08-29 14:38,Minute,129.615,36.0767,0,,52,33.8685,1,17.2419,1,8.219,1,13.7756,1,0.392671,2,0.576776,1,7.48831,1,5,2
정선해양관측,102-04,2020-08-29 14:38,Minute,129.615,36.0767,10,,52,33.9631,1,16.0592,1,8.6883,1,,,,,,,,,5,2
정선해양관측,102-04,2020-08-29 14:38,Minute,129.615,36.0767,20,,52,34.1162,1,15.0017,1,8.4698,1,,,,,,,,,5,2
정선해양관측,102-04,2020-08-29 14:38,Minute,129.615,36.0767,30,,52,34.2092,1,13.7783,1,9.905,1,,,,,,,,,5,2
정선해양관측,102-04,2020-08-29 14:38,Minute,129.615,36.0767,50,,52,34.2662,1,11.3598,1,9.3054,1,,,,,,,,,5,2
정선해양관측,102-04,2020-08-29 14:38,Minute,129.615,36.0767,75,,52,34.147,1,7.9606,1,9.6774,1,,,,,,,,,5,2
정선해양관측,102-04,2020-10-28 15:38,Minute,129.615,36.0767,0,,52,32.6612,1,19.1137,1,5.133,1,7.4869,1,0.450067,2,0.132731,1,2.49099,1,12,2
정선해양관측,102-04,2020-10-28 15:38,Minute,129.615,36.0767,10,,52,32.6617,1,19.0369,1,5.1614,1,,,,,,,,,12,2
정선해양관측,102-04,2020-10-28 15:38,Minute,129.615,36.0767,20,,52,32.6653,1,18.8881,1,5.0921,1,,,,,,,,,12,2
정선해양관측,102-04,2020-10-28 15:38,Minute,129.615,36.0767,30,,52,32.686,1,18.4589,1,5.0935,1,,,,,,,,,12,2
정선해양관측,102-04,2020-10-28 15:38,Minute,129.615,36.0767,50,,52,34.2785,1,13.733,1,3.9637,1,,,,,,,,,12,2
정선해양관측,102-04,2020-12-10 14:50,Minute,129.615,36.0767,0,,52,34.0441,1,15.9353,1,5.1554,1,,,,,,,,,7.1,2
정선해양관측,102-04,2020-12-10 14:50,Minute,129.615,36.0767,10,,52,34.0452,1,15.8271,1,5.1623,1,,,,,,,,,7.1,2
정선해양관측,102-04,2020-12-10 14:50,Minute,129.615,36.0767,20,,52,34.0852,1,15.5541,1,5.0391,1,,,,,,,,,7.1,2
정선해양관측,102-04,2020-12-10 14:50,Minute,129.615,36.0767,30,,52,34.078,1,15.0333,1,5.1748,1,,,,,,,,,7.1,2
정선해양관측,102-04,2020-12-10 14:50,Minute,129.615,36.0767,50,,52,34.0836,1,13.3745,1,4.7352,1,,,,,,,,,7.1,2
정선해양관측,102-04,2020-12-10 14:50,Minute,129.615,36.0767,75,,52,34.0423,1,3.6225,1,4.858,1,,,,,,,,,7.1,2
정선해양관측,102-05,2020-02-21 14:13,Minute,129.6883,36.0767,0,,210,34.3603,1,13.9977,1,6.6737,1,9.47694,1,0.263319,2,0.358402,1,5.8026,1,7.1,2
정선해양관측,102-05,2020-02-21 14:13,Minute,129.6883,36.0767,10,,210,34.3579,1,13.9634,1,6.6806,1,,,,,,,,,7.1,2
정선해양관측,102-05,2020-02-21 14:13,Minute,129.6883,36.0767,20,,210,34.3424,1,13.5969,1,6.686,1,8.84344,1,0.240843,2,0.328843,1,5.50332,1,7.1,2
정선해양관측,102-05,2020-02-21 14:13,Minute,129.6883,36.0767,30,,210,34.2328,1,11.9607,1,6.9768,1,,,,,,,,,7.1,2
정선해양관측,102-05,2020-02-21 14:13,Minute,129.6883,36.0767,50,,210,34.2272,1,11.9416,1,7.067,1,7.30876,1,0.292167,2,0.264683,1,4.83061,1,7.1,2
정선해양관측,102-05,2020-02-21 14:13,Minute,129.6883,36.0767,75,,210,34.2295,1,11.9324,1,7.0462,1,,,,,,,,,7.1,2
정선해양관측,102-05,2020-02-21 14:13,Minute,129.6883,36.0767,100,,210,34.1438,1,9.1647,1,6.7863,1,11.8869,1,0.00089,2,0.665424,1,10.8208,1,7.1,2
정선해양관측,102-05,2020-02-21 14:13,Minute,129.6883,36.0767,125,,210,34.1258,1,5.1538,1,7.3093,1,,,,,,,,,7.1,2
정선해양관측,102-05,2020-02-21 14:13,Minute,129.6883,36.0767,150,,210,34.0719,1,2.7252,1,7.7441,1,,,,,,,,,7.1,2
정선해양관측,102-05,2020-04-19 6:39,Minute,129.6883,36.0767,0,,210,34.4398,1,14.9669,1,6.8563,1,2.77707,1,0.05384,2,0.079735,1,0.991926,1,,
정선해양관측,102-05,2020-04-19 6:39,Minute,129.6883,36.0767,10,,210,34.4485,1,14.9723,1,6.9136,1,,,,,,,,,,
정선해양관측,102-05,2020-04-19 6:39,Minute,129.6883,36.0767,20,,210,34.4496,1,14.9773,1,6.9115,1,2.77018,1,0.056888,2,0.074877,1,0.85874,1,,
정선해양관측,102-05,2020-04-19 6:39,Minute,129.6883,36.0767,30,,210,34.4496,1,14.9757,1,6.9109,1,,,,,,,,,,
정선해양관측,102-05,2020-04-19 6:39,Minute,129.6883,36.0767,50,,210,34.3484,1,14.1104,1,6.5987,1,4.32101,1,0.199635,2,0.235086,1,1.58344,1,,
정선해양관측,102-05,2020-04-19 6:39,Minute,129.6883,36.0767,75,,210,34.3744,1,13.7932,1,6.2718,1,,,,,,,,,,
정선해양관측,102-05,2020-04-19 6:39,Minute,129.6883,36.0767,100,,210,34.1315,1,3.5369,1,6.5822,1,26.271,1,0.069283,2,1.41594,1,18.5776,1,,
정선해양관측,102-05,2020-04-19 6:39,Minute,129.6883,36.0767,125,,210,34.0609,1,2.3053,1,6.8414,1,,,,,,,,,,
정선해양관측,102-05,2020-04-19 6:39,Minute,129.6883,36.0767,150,,210,34.0539,1,2.075,1,7.0334,1,,,,,,,,,,
정선해양관측,102-05,2020-06-20 15:18,Minute,129.6883,36.0767,0,,210,33.3815,1,20.2909,1,6.5503,1,5.18511,1,0.00128,2,0.006842,1,0.381168,1,19,2
정선해양관측,102-05,2020-06-20 15:18,Minute,129.6883,36.0767,10,,210,33.3553,1,19.9771,1,6.6617,1,,,,,,,,,19,2
