project_name,station,일시,longitude,latitude,bot.depth[m],수심(m),수심(text),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L],year,month,quarter,year_quarter
해양환경측정망,진해만7_연안,2015-05-17,128.5172222,35.04611111,0,0.0,표층,233.048,30.7488,18.6305,2.96,7.6,10.3018,8.49,47.936,0.294,1.674,1.344,3.5,2.926,2.567,1.288,13.8201,2015,5,2,20152
해양환경측정망,진해만7_연안,2015-05-17,128.5172222,35.04611111,0,18.0,저층,239.476,33.4969,14.7342,2.36,4.6,5.4172,8.12,952.896,3.486,8.494,18.816,,49.476,1.59525,27.174,24.2212,2015,5,2,20152
해양환경측정망,진해만7_연안,2015-08-09,128.5172222,35.04611111,0,0.0,표층,188.378,32.1546,27.7373,0.48,5.0,7.9853,8.11,52.2,0.854,3.565,2.142,5.2,4.998,0.830637,3.332,15.2105,2015,8,3,20153
해양환경측정망,진해만7_연안,2015-08-09,128.5172222,35.04611111,0,17.0,저층,221.518,33.0206,19.3485,1.798,3.3,6.06252,8.02,361.2,11.788,13.764,42.378,,63.812,0.744709,9.646,20.4836,2015,8,3,20153
해양환경측정망,진해만7_연안,2015-11-11,128.5172222,35.04611111,0,0.0,표층,347.541,31.9357,17.8816,1.724,3.4,6.81455,7.93,608.888,21.966,28.241,51.002,6.0,144.312,1.3759,71.344,33.1096,2015,11,4,20154
해양환경측정망,진해만7_연안,2015-11-11,128.5172222,35.04611111,0,17.0,저층,369.488,32.6769,17.7938,1.428,4.3,5.44219,7.97,914.76,27.132,34.379,70.056,,176.946,1.02065,79.758,35.7951,2015,11,4,20154
해양환경측정망,진해만8_연안,2015-02-06,128.5377778,35.00194444,0,0.0,표층,236.204,32.68,6.42,2.392,3.8,10.6026,8.23,81.0,0.196,4.402,4.402,8.0,6.894,1.06726,2.296,15.3217,2015,2,1,20151
해양환경측정망,진해만8_연안,2015-02-06,128.5377778,35.00194444,0,25.0,저층,246.875,32.69,6.36,3.332,2.9,10.4866,8.24,79.91,0.28,4.247,4.247,,7.369,1.39734,2.842,16.766,2015,2,1,20151
해양환경측정망,진해만8_연안,2015-05-17,128.5377778,35.00194444,0,0.0,표층,205.854,31.5233,17.3646,2.54,9.9,10.1163,8.42,108.724,1.918,1.395,6.748,3.4,9.254,2.72428,0.588,13.3179,2015,5,2,20152
해양환경측정망,진해만8_연안,2015-05-17,128.5377778,35.00194444,0,24.5,저층,247.311,32.9302,12.9852,1.388,7.5,4.74216,8.07,1028.61,3.906,7.316,22.862,,62.412,1.91542,35.644,20.9523,2015,5,2,20152
해양환경측정망,진해만8_연안,2015-08-09,128.5377778,35.00194444,0,0.0,표층,194.1,32.0853,26.7368,0.574,14.1,8.26244,8.15,81.5,1.484,3.069,2.954,4.3,6.398,1.12279,1.96,13.9134,2015,8,3,20153
해양환경측정망,진해만8_연안,2015-08-09,128.5377778,35.00194444,0,23.5,저층,270.908,33.3659,17.9814,2.8,9.7,5.38698,7.97,597.0,13.902,23.777,79.52,,120.526,0.641596,27.104,29.1617,2015,8,3,20153
해양환경측정망,진해만8_연안,2015-11-11,128.5377778,35.00194444,0,0.0,표층,288.236,32.0423,18.128,1.916,5.0,7.8781,8.04,317.352,17.626,18.011,24.878,11.2,69.594,1.25748,27.09,37.3004,2015,11,4,20154
해양환경측정망,진해만8_연안,2015-11-11,128.5377778,35.00194444,0,23.5,저층,351.863,32.9694,17.3958,1.06,7.8,4.94387,7.99,894.152,30.59,31.837,98.336,,173.18,0.902229,44.254,33.6959,2015,11,4,20154
해양환경측정망,진해만9_연안,2015-02-06,128.4741667,34.96888889,0,0.0,표층,127.721,32.71,6.54,1.832,3.4,10.6887,8.24,190.5,0.238,4.557,4.557,7.0,7.651,1.28181,2.856,16.4145,2015,2,1,20151
해양환경측정망,진해만9_연안,2015-02-06,128.4741667,34.96888889,0,22.5,저층,158.24,32.72,6.47,2.436,4.3,8.9713,8.25,192.25,0.224,4.929,4.929,,6.567,1.38083,1.414,17.6706,2015,2,1,20151
해양환경측정망,진해만9_연안,2015-05-17,128.4741667,34.96888889,0,0.0,표층,288.427,31.7861,17.7506,2.02,8.5,9.35759,8.36,138.656,0.462,0.217,1.708,4.1,2.828,1.83116,0.658,15.5614,2015,5,2,20152
해양환경측정망,진해만9_연안,2015-05-17,128.4741667,34.96888889,0,21.0,저층,364.701,32.8743,13.5377,2.92,7.6,3.94899,8.0,1174.04,1.232,5.363,5.18,,19.53,1.89857,13.118,26.2179,2015,5,2,20152
해양환경측정망,진해만9_연안,2015-08-09,128.4741667,34.96888889,0,0.0,표층,193.211,32.2455,25.3281,0.768,6.7,7.8294,8.07,75.7,0.868,3.379,2.702,5.3,5.404,1.15716,5.726,13.72,2015,8,3,20153
해양환경측정망,진해만9_연안,2015-08-09,128.4741667,34.96888889,0,22.0,저층,296.332,33.2603,18.5917,1.016,15.3,4.53823,7.91,867.0,22.554,33.449,110.32,,172.354,0.607225,39.48,36.1277,2015,8,3,20153
해양환경측정망,진해만9_연안,2015-11-11,128.4741667,34.96888889,0,0.0,표층,269.784,32.091,18.2028,1.358,3.3,7.68115,7.99,254.688,9.254,15.438,20.02,10.5,64.568,1.2744,35.294,31.5992,2015,11,4,20154
해양환경측정망,진해만9_연안,2015-11-11,128.4741667,34.96888889,0,22.5,저층,374.749,32.8282,17.6663,0.652,3.0,5.15369,7.99,795.144,33.166,30.008,84.728,,173.264,1.20673,55.37,30.7948,2015,11,4,20154
해양환경측정망,천수만1_연안,2015-02-28,126.4055556,36.59166667,0,0.0,표층,339.866,32.0517,4.5798,9.78,5.6,12.4127,8.53,1.7,0.798,4.526,0.434,2.1,16.408,2.25664,15.176,30.4138,2015,2,1,20151
해양환경측정망,천수만1_연안,2015-02-28,126.4055556,36.59166667,0,17.0,저층,365.703,32.0736,4.4774,9.42,4.8,12.3452,8.55,1.65,0.588,3.286,0.7,,4.2,2.25664,2.912,48.3588,2015,2,1,20151
해양환경측정망,천수만1_연안,2015-05-16,126.4055556,36.59166667,0,0.0,표층,282.26,31.7005,17.3748,4.56,6.2,9.30606,8.23,151.452,0.322,3.627,0.476,3.0,7.14,2.03238,6.342,19.8183,2015,5,2,20152
해양환경측정망,천수만1_연안,2015-05-16,126.4055556,36.59166667,0,16.0,저층,280.18,31.8237,15.8869,4.28,8.8,8.39069,8.19,198.632,0.938,5.487,3.094,,19.782,1.54662,15.75,20.7551,2015,5,2,20152
해양환경측정망,천수만1_연안,2015-08-15,126.4055556,36.59166667,0,0.0,표층,278.126,31.5139,27.4827,7.02,6.6,11.8797,8.32,267.204,0.392,12.896,0.896,1.4,9.142,2.96951,7.854,56.1035,2015,8,3,20153
해양환경측정망,천수만1_연안,2015-08-15,126.4055556,36.59166667,0,16.6,저층,373.142,31.4705,26.959,6.88,6.8,5.74885,7.94,823.2,3.892,44.919,11.984,,163.632,1.99112,147.756,65.7925,2015,8,3,20153
해양환경측정망,천수만1_연안,2015-11-14,126.4055556,36.59166667,0,0.0,표층,434.882,31.6891,15.5749,1.204,5.6,8.23945,8.04,817.18,39.284,45.942,75.348,1.7,220.486,0.959248,105.854,49.6149,2015,11,4,20154
해양환경측정망,천수만1_연안,2015-11-14,126.4055556,36.59166667,0,15.5,저층,437.894,32.0111,15.6121,1.18,13.2,8.00617,8.04,878.864,39.256,46.934,72.394,,227.178,0.993712,115.528,54.3678,2015,11,4,20154
해양환경측정망,천수만2_연안,2015-02-28,126.4522222,36.53138889,0,0.0,표층,359.211,32.0777,4.6717,11.1,6.4,11.7381,8.4,40.8,0.826,5.022,6.454,2.5,11.704,2.09152,4.424,31.6547,2015,2,1,20151
해양환경측정망,천수만2_연안,2015-02-28,126.4522222,36.53138889,0,17.6,저층,362.596,32.0969,4.4959,10.56,6.4,11.7212,8.42,38.14,0.91,4.03,7.476,,11.116,2.28966,2.73,32.2298,2015,2,1,20151
