project_name,station,일시,유효시간,longitude,latitude,수심(m),수심(text),전체수심(m),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L],year,month,quarter,year_quarter
해양환경측정망,부산연안H8_항만,2020-05-20 12:56:00,Minute,128.9816667,35.05472222,7.0,저층,7.0,181.118,33.9859,14.8434,2.836,8.5,8.38,8.2,244.216,9.786,9.207,22.274,,51.268,1.34229,19.208,27.931,2020,5,2,20202
해양환경측정망,부산연안H8_항만,2020-08-22 13:07:00,Minute,128.9816667,35.05472222,0.0,표층,8.5,234.024,30.2664,23.8915,6.28,4.0,10.3,8.04,296.8,2.156,2.821,13.174,3.4,50.26,3.0552,34.93,33.635,2020,8,3,20203
해양환경측정망,부산연안H8_항만,2020-08-22 13:07:00,Minute,128.9816667,35.05472222,8.5,저층,8.5,206.668,30.8324,21.8378,5.28,12.2,9.4,8.09,359.604,2.436,4.495,34.174,,77.98,2.21904,41.37,24.459,2020,8,3,20203
해양환경측정망,사천연안1_연안,2020-02-16 09:52:00,Minute,128.0513889,34.90444444,0.0,표층,21.0,181.188,33.0094,9.41,1.616,12.3,10.1814,8.12,327.992,3.01,16.585,60.998,2.0,82.502,1.03448,18.494,32.488,2020,2,1,20201
해양환경측정망,사천연안1_연안,2020-02-16 09:52:00,Minute,128.0513889,34.90444444,21.0,저층,21.0,222.852,33.0156,9.4095,1.504,14.05,10.111,8.14,278.964,2.744,14.539,50.106,,68.978,1.5008,16.128,32.798,2020,2,1,20201
해양환경측정망,사천연안1_연안,2020-05-17 09:33:00,Minute,128.0513889,34.90444444,0.0,표층,25.0,184.59,33.2317,16.9441,2.84,7.6,7.27,8.1,311.92,2.842,9.486,28.784,2.3,54.712,1.41179,23.086,26.381,2020,5,2,20202
해양환경측정망,사천연안1_연안,2020-05-17 09:33:00,Minute,128.0513889,34.90444444,25.0,저층,25.0,161.0,33.5574,16.1368,1.934,6.25,8.64,8.11,309.82,2.576,9.548,19.474,,87.08,1.85675,65.03,24.49,2020,5,2,20202
해양환경측정망,사천연안1_연안,2020-08-09 15:36:00,Minute,128.0513889,34.90444444,0.0,표층,27.0,393.582,17.5067,22.1279,1.2,20.25,8.17716,7.8,1227.24,11.746,31.868,316.33,2.5,385.434,2.57816,57.358,42.315,2020,8,3,20203
해양환경측정망,사천연안1_연안,2020-08-09 15:36:00,Minute,128.0513889,34.90444444,27.0,저층,27.0,153.958,32.6841,18.6904,0.4355,14.625,5.31454,7.72,833.056,15.134,18.6,55.986,,82.53,0.92192,11.41,31.217,2020,8,3,20203
해양환경측정망,사천연안1_연안,2020-11-05 16:15:00,Minute,128.0513889,34.90444444,0.0,표층,17.0,263.256,31.659,17.578,2.84,8.45,7.50481,8.19,498.736,10.57,22.041,57.372,2.8,73.052,1.29318,5.11,38.099,2020,11,4,20204
해양환경측정망,사천연안1_연안,2020-11-05 16:15:00,Minute,128.0513889,34.90444444,17.0,저층,17.0,270.732,31.6667,17.5861,2.96,7.3,7.72908,8.18,500.836,10.668,23.312,58.114,,103.166,1.12739,34.384,40.3,2020,11,4,20204
해양환경측정망,사천연안2_연안,2020-02-16 09:15:00,Minute,128.1,34.90888889,0.0,표층,14.5,169.092,33.1323,9.6873,1.474,9.6,10.2741,8.18,280.168,3.206,14.043,51.464,2.0,72.842,1.80632,18.172,31.837,2020,2,1,20201
해양환경측정망,사천연안2_연안,2020-02-16 09:15:00,Minute,128.1,34.90888889,14.5,저층,14.5,196.7,33.1351,9.6775,1.482,18.75,10.2048,8.2,337.652,4.088,17.918,62.006,,83.426,2.24048,17.332,31.124,2020,2,1,20201
해양환경측정망,사천연안2_연안,2020-05-09 12:11:00,Minute,128.1,34.90888889,0.0,표층,16.0,156.632,33.378,16.3535,1.456,21.8,8.87,8.11,289.912,2.044,9.889,17.878,3.0,52.374,2.15765,32.452,27.28,2020,5,2,20202
해양환경측정망,사천연안2_연안,2020-05-09 12:11:00,Minute,128.1,34.90888889,16.0,저층,16.0,174.146,33.4102,16.3383,1.4,38.7,8.69,8.12,288.316,2.926,10.416,18.816,,37.716,1.39531,15.974,32.922,2020,5,2,20202
해양환경측정망,사천연안2_연안,2020-08-09 12:40:00,Minute,128.1,34.90888889,0.0,표층,17.0,338.716,26.4342,23.0502,1.11,42.625,7.41929,7.75,1169.0,11.704,20.615,163.1,3.0,210.714,1.95104,35.91,37.417,2020,8,3,20203
해양환경측정망,사천연안2_연안,2020-08-09 12:40:00,Minute,128.1,34.90888889,17.0,저층,17.0,160.468,32.6646,19.0184,0.444,14.625,5.67896,7.72,729.176,13.678,13.578,31.64,,58.968,0.92192,13.65,30.349,2020,8,3,20203
해양환경측정망,사천연안2_연안,2020-11-06 09:03:00,Minute,128.1,34.90888889,0.0,표층,16.0,218.694,31.8491,18.2259,1.354,3.95,7.27292,8.14,507.052,10.528,22.041,60.018,2.5,80.99,0.961594,10.444,30.38,2020,11,4,20204
해양환경측정망,사천연안2_연안,2020-11-06 09:03:00,Minute,128.1,34.90888889,16.0,저층,16.0,188.286,31.955,17.9782,1.762,6.85,7.19448,8.16,505.092,10.654,20.491,54.796,,99.568,0.911856,34.118,29.915,2020,11,4,20204
해양환경측정망,사천연안3_연안,2020-02-18 13:22:00,Minute,128.125,34.875,0.0,표층,11.0,171.388,33.2816,9.1234,2.08,6.85,10.4472,8.27,300.832,3.234,15.686,50.498,4.0,69.384,1.14704,15.652,28.706,2020,2,1,20201
해양환경측정망,사천연안3_연안,2020-02-18 13:22:00,Minute,128.125,34.875,11.0,저층,11.0,181.398,33.5367,9.53,2.78,8.05,10.2931,8.28,224.448,3.542,9.734,37.8,,54.796,1.6616,13.454,28.365,2020,2,1,20201
해양환경측정망,사천연안3_연안,2020-05-17 11:00:00,Minute,128.125,34.875,0.0,표층,11.0,143.318,33.4641,17.3637,2.92,4.9,8.86,8.23,179.62,0.266,0.899,1.512,4.0,37.912,1.34587,36.134,18.476,2020,5,2,20202
해양환경측정망,사천연안3_연안,2020-05-17 11:00:00,Minute,128.125,34.875,11.0,저층,11.0,125.16,33.7852,15.4775,3.22,11.45,8.54,8.17,318.724,0.532,6.076,3.178,,22.526,1.87323,18.816,27.869,2020,5,2,20202
해양환경측정망,사천연안3_연안,2020-08-09 13:08:00,Minute,128.125,34.875,0.0,표층,12.0,217.588,27.4099,22.0327,3.28,7.5,7.14818,7.81,824.628,12.068,11.47,67.032,3.0,100.492,1.9028,21.392,31.0,2020,8,3,20203
해양환경측정망,사천연안3_연안,2020-08-09 13:08:00,Minute,128.125,34.875,12.0,저층,12.0,115.696,32.8946,18.7502,0.35,10.875,6.37894,7.8,539.756,12.208,8.99,24.332,,39.172,1.0988,2.632,20.336,2020,8,3,20203
해양환경측정망,사천연안3_연안,2020-11-05 15:25:00,Minute,128.125,34.875,0.0,표층,11.0,226.716,31.8698,18.1902,2.1,8.5,7.44449,8.17,508.508,10.598,20.739,50.288,4.0,69.902,0.862118,9.016,33.077,2020,11,4,20204
해양환경측정망,사천연안3_연안,2020-11-05 15:25:00,Minute,128.125,34.875,11.0,저층,11.0,194.698,32.089,18.2277,2.54,10.15,7.11105,8.21,480.592,10.486,17.98,42.238,,78.358,1.01133,25.634,30.938,2020,11,4,20204
해양환경측정망,사천연안4_연안,2020-02-18 13:10:00,Minute,128.1244444,34.89277778,0.0,표층,12.0,187.614,33.2692,9.1083,1.834,7.55,10.4111,8.17,294.924,3.36,15.004,60.578,3.0,80.5,1.22744,16.562,30.008,2020,2,1,20201
해양환경측정망,사천연안4_연안,2020-02-18 13:10:00,Minute,128.1244444,34.89277778,12.0,저층,12.0,203.14,33.4775,9.3392,1.82,7.85,10.1125,8.18,327.236,4.074,16.926,58.282,,80.514,1.9028,18.158,29.481,2020,2,1,20201
해양환경측정망,사천연안4_연안,2020-05-17 10:47:00,Minute,128.1244444,34.89277778,0.0,표층,12.0,135.576,33.5318,18.0076,1.904,11.3,8.66,8.18,183.708,0.462,0.961,2.324,3.7,5.964,1.97211,3.178,18.786,2020,5,2,20202
해양환경측정망,사천연안4_연안,2020-05-17 10:47:00,Minute,128.1244444,34.89277778,12.0,저층,12.0,123.914,33.6114,16.6425,2.54,15.35,9.03,8.17,193.508,0.574,2.635,2.716,,6.09,1.70843,2.8,20.367,2020,5,2,20202
해양환경측정망,사천연안4_연안,2020-08-09 12:56:00,Minute,128.1244444,34.89277778,0.0,표층,14.0,244.09,27.855,22.888,5.85,9.125,8.59559,7.9,868.952,8.456,10.044,67.144,3.0,93.94,2.40128,18.34,37.727,2020,8,3,20203
해양환경측정망,사천연안4_연안,2020-08-09 12:56:00,Minute,128.1244444,34.89277778,14.0,저층,14.0,128.912,32.8253,18.8488,0.4235,16.0,5.34782,7.73,710.332,13.02,12.276,21.0,,45.822,0.938,11.802,27.838,2020,8,3,20203
해양환경측정망,사천연안4_연안,2020-11-05 15:35:00,Minute,128.1244444,34.89277778,0.0,표층,12.0,240.016,31.9311,18.1385,1.978,5.6,7.16701,8.2,502.376,10.388,19.375,48.006,3.5,66.108,0.82896,7.714,33.511,2020,11,4,20204
해양환경측정망,사천연안4_연안,2020-11-05 15:35:00,Minute,128.1244444,34.89277778,12.0,저층,12.0,214.13,31.9942,18.1656,2.12,5.3,7.11119,8.2,499.016,10.78,19.778,46.298,,83.454,0.945014,26.376,32.674,2020,11,4,20204
해양환경측정망,사천연안H1_항만,2020-02-16 08:50:00,Minute,128.0825,34.92,0.0,표층,9.5,189.35,33.0379,9.5623,1.322,7.4,10.3212,8.17,259.952,1.47,8.308,31.304,2.5,53.648,1.62408,20.874,31.403,2020,2,1,20201
해양환경측정망,사천연안H1_항만,2020-02-16 08:50:00,Minute,128.0825,34.92,9.5,저층,9.5,190.484,33.0613,9.5944,1.264,8.2,10.1651,8.18,281.96,2.842,14.942,57.596,,82.642,1.07736,22.204,28.892,2020,2,1,20201
해양환경측정망,사천연안H1_항만,2020-08-09 12:05:00,Minute,128.0825,34.92,0.0,표층,10.0,291.956,22.973,22.1186,1.02,11.625,6.83035,7.73,1217.86,12.684,21.731,165.998,0.15,228.956,2.23512,50.274,36.146,2020,8,3,20203
해양환경측정망,사천연안H1_항만,2020-08-09 12:05:00,Minute,128.0825,34.92,10.0,저층,10.0,139.566,31.6108,20.1308,0.65,13.875,5.8332,7.73,820.82,12.404,13.671,53.41,,101.514,1.6884,35.7,24.459,2020,8,3,20203
해양환경측정망,삼척연안1_연안,2020-02-13 09:00:00,Minute,129.2475,37.39916667,0.0,표층,53.0,154.63,33.8871,12.877,0.758,3.6,8.47966,8.22,352.66,5.082,14.074,100.366,11.2,110.334,1.36537,4.886,22.816,2020,2,1,20201
해양환경측정망,삼척연안1_연안,2020-02-13 09:00:00,Minute,129.2475,37.39916667,53.0,저층,53.0,199.808,34.1761,11.2624,0.24,4.3,8.2,8.15,416.052,2.772,21.39,134.33,,139.104,1.42987,2.002,30.07,2020,2,1,20201
해양환경측정망,삼척연안1_연안,2020-05-27 13:27:00,Minute,129.2475,37.39916667,0.0,표층,55.0,108.948,34.0334,15.613,1.564,10.0,9.90923,8.25,131.6,0.0,0.31,1.484,5.5,4.592,1.08715,3.108,15.438,2020,5,2,20202
해양환경측정망,삼척연안1_연안,2020-05-27 13:27:00,Minute,129.2475,37.39916667,55.0,저층,55.0,220.262,34.1297,10.3029,0.486,15.55,7.49657,8.12,311.22,4.648,18.135,80.712,,91.66,0.954027,6.3,30.628,2020,5,2,20202
해양환경측정망,삼척연안1_연안,2020-08-16 11:22:00,Minute,129.2475,37.39916667,0.0,표층,57.5,124.46,31.1977,22.9498,1.558,10.4,10.1891,8.23,18.004,0.21,0.0075,0.672,7.5,2.31,1.65291,1.428,9.207,2020,8,3,20203
해양환경측정망,삼척연안1_연안,2020-08-16 11:22:00,Minute,129.2475,37.39916667,57.5,저층,57.5,223.622,34.3651,10.0936,0.28,4.1,8.40541,8.02,407.456,2.184,22.847,133.728,,136.766,1.02059,0.854,28.148,2020,8,3,20203
